,id,WFX,WFY,RFX,RFY,OVX,OVY
0,0,1,1,1,1,-0.9160043839405977,0.17476952375237065
1,0,1,1,1,2,-0.9368022744376768,-0.8620644844000632
2,0,1,1,1,3,1.234893015032743,-0.27000528637826765
3,0,1,1,1,4,-1.0256690833282727,1.475190588935653
4,0,1,1,1,5,-0.3897511280580162,-0.12138809405465792
5,0,1,1,2,1,-0.16680246318900496,1.2067668452263882
6,0,1,1,2,2,-0.686905729483975,0.4402214711631744
7,0,1,1,2,3,-0.05180737930011089,-0.023507706542946868
8,0,1,1,2,4,0.04748804954358526,1.2877252757239825
9,0,1,1,2,5,0.9054120232009819,-1.3679791340430236
10,0,1,1,3,1,0.7532806248916353,0.012900856853985879
11,0,1,1,3,2,0.07386987382911395,1.1641492123248354
12,0,1,1,3,3,0.8428777327540656,1.1440724555394264
13,0,1,1,3,4,-0.03411898113561865,1.3082707292599083
14,0,1,1,3,5,-0.15502933123663082,0.6318748009241639
15,0,1,1,4,1,1.4594124313079901,0.5487728810035973
16,0,1,1,4,2,-1.4843387531316312,0.7795067748140315
17,0,1,1,4,3,-0.6070255827604069,-0.5556597269891738
18,0,1,1,4,4,0.7850266352309223,1.3348064752564073
19,0,1,1,4,5,0.7269793341684926,1.7625977800981811
20,0,1,1,5,1,-0.6775585740687844,-0.5128347605576823
21,0,1,1,5,2,0.6671824015572582,0.22932556953170324
22,0,1,1,5,3,0.15320596135630807,0.9080393814279973
23,0,1,1,5,4,0.35548931797169037,-0.42148202494048503
24,0,1,1,5,5,2.2752477303494487,0.22781403827348726
25,0,1,2,1,1,-0.9750150496282991,-2.04691031249015
26,0,1,2,1,2,-1.1100957880453026,-0.06255198621974932
27,0,1,2,1,3,0.8268841712849583,0.3149796862385679
28,0,1,2,1,4,-0.053491401095084,0.7438205026599081
29,0,1,2,1,5,0.1331702147345237,0.11812925352105356
30,0,1,2,2,1,-0.16256781428577294,0.4404311477953078
31,0,1,2,2,2,1.102400856167993,-0.8853610468731613
32,0,1,2,2,3,-2.6242811348496096,0.02922475475271925
33,0,1,2,2,4,1.0693642512678676,1.4472965494632317
34,0,1,2,2,5,-1.4187177234609685,-0.25547031476974974
35,0,1,2,3,1,-0.054338205776579204,-1.0649324392823238
36,0,1,2,3,2,0.4557405968740142,0.2859147813447439
37,0,1,2,3,3,0.26458745192851724,-0.6104356516399372
38,0,1,2,3,4,-2.6864705848528456,-0.44333823510795217
39,0,1,2,3,5,-1.8829168307822914,-2.544627047124509
40,0,1,2,4,1,-0.2528357324559319,-0.29354134825270445
41,0,1,2,4,2,-0.15193175454521052,1.9170561776108193
42,0,1,2,4,3,-0.14582425942499438,-0.6967152716572524
43,0,1,2,4,4,-0.363699337166305,-0.47824114540612545
44,0,1,2,4,5,0.9631583368799607,1.0777061493777897
45,0,1,2,5,1,-1.5334501062233736,-0.8927989377865759
46,0,1,2,5,2,-0.3345724192397871,-0.47215013781832976
47,0,1,2,5,3,-0.5639244309171495,-0.46274653377791375
48,0,1,2,5,4,0.45727113001587183,-1.4817888963238957
49,0,1,2,5,5,0.6734485368666105,0.2369074476662358
50,0,1,3,1,1,-0.30058399273849096,-0.7042004980024656
51,0,1,3,1,2,0.13040501144171687,1.246710999562277
52,0,1,3,1,3,-0.09533638800498186,0.6970953369576419
53,0,1,3,1,4,0.8678581538965833,0.061609591429428644
54,0,1,3,1,5,0.3270175502891478,-0.42739707558179846
55,0,1,3,2,1,-0.016341229606591824,-1.1885575067173229
56,0,1,3,2,2,0.1727671084261133,-1.2123457858806785
57,0,1,3,2,3,-1.5791359204085749,-0.6697033281114971
58,0,1,3,2,4,1.9398872238424583,1.456022602357282
59,0,1,3,2,5,-1.190804962848264,1.2184095680587517
60,0,1,3,3,1,0.09944455278501295,0.4056534160316284
61,0,1,3,3,2,-0.576214542407991,-0.1148842434024104
62,0,1,3,3,3,-0.3769264122545634,0.5481562795641279
63,0,1,3,3,4,1.07708216442037,-0.9424595031269888
64,0,1,3,3,5,-0.38917190091835435,-1.9618132985411627
65,0,1,3,4,1,0.9640887391456986,0.9790785529979484
66,0,1,3,4,2,-0.6526626457893996,0.30795892884516335
67,0,1,3,4,3,1.2843543523479066,1.7263755583014766
68,0,1,3,4,4,2.8172837777402573,0.5781252562594672
69,0,1,3,4,5,-0.7131105810086251,0.28268297149940713
70,0,1,3,5,1,0.7106371355380862,1.1070257497462608
71,0,1,3,5,2,1.9054970424027695,0.33909461434126
72,0,1,3,5,3,0.9341475745862023,-0.1350489156062568
73,0,1,3,5,4,0.5274481424841548,1.2541861245772463
74,0,1,3,5,5,0.16888154622359952,-1.7065245420729656
75,0,1,4,1,1,-0.39229672836768853,1.1837145934810254
76,0,1,4,1,2,-0.29553465906105086,-0.8678248545288156
77,0,1,4,1,3,0.9845644838175893,-0.4028103098719141
78,0,1,4,1,4,0.775309404663599,0.5117992751783963
79,0,1,4,1,5,-1.3081171924759574,-0.5792095070615834
80,0,1,4,2,1,0.7983333478336893,-1.3243304760654846
81,0,1,4,2,2,0.028975681038153758,0.12791375154377238
82,0,1,4,2,3,-0.7671735541724088,-0.7259957464793231
83,0,1,4,2,4,-1.2474268487425049,-0.7242325418823318
84,0,1,4,2,5,-0.35584253714559816,-1.2514569807951021
85,0,1,4,3,1,0.11057013194805292,0.8088711222101261
86,0,1,4,3,2,-0.659229348385684,0.934361228613711
87,0,1,4,3,3,0.6847042009130746,-1.0934019024452317
88,0,1,4,3,4,-0.8397382201951287,0.674201491208674
89,0,1,4,3,5,0.2637671419986794,0.3287543624601865
90,0,1,4,4,1,-0.2926348510616026,-1.7058810394045822
91,0,1,4,4,2,2.198516523911252,0.06436545406465893
92,0,1,4,4,3,2.036400520903435,-1.9283102969936177
93,0,1,4,4,4,1.7540006023877128,0.2854048591371662
94,0,1,4,4,5,0.22328643642861806,-0.8160652320906409
95,0,1,4,5,1,0.217201133530176,0.49277063421275263
96,0,1,4,5,2,0.5689760659131855,-0.09318338142316857
97,0,1,4,5,3,-0.19139712049150004,1.7262588417721996
98,0,1,4,5,4,0.18279856696105085,1.1450824086101035
99,0,1,4,5,5,-1.4903427984155309,0.888664957245785
